N_iter,Min_dist,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1,0.64,1.1,0.0,-1.2548,0.19479999999999986
100,0.1,50,0.1,0.05,0.0287,-1.0578,0.0021999999999999797,1.1054,0.005399999999999849
100,0.1,50,0.1,0.01,0.0185,-1.3,0.24,1.31,0.20999999999999996
100,0.1,50,0.1,0.0001,0.01,1.5,0.3999999999999999,1.9,0.7999999999999998
100,0.1,50,0.05,0.1,0.7093,1.1,0.0,1.3553,0.25529999999999986
100,0.1,50,0.05,0.05,0.0336,-1.0763,0.01629999999999998,1.0778,0.022199999999999998
100,0.1,50,0.05,0.01,0.0251,-1.0,0.06000000000000005,-1.2134,0.15339999999999998
100,0.1,50,0.05,0.0001,0.0111,-0.2,0.8600000000000001,-1.6,0.54
100,0.1,50,0.01,0.1,0.7013,1.1,0.0,0.8369,0.2631000000000001
100,0.1,50,0.01,0.05,0.047,-1.0629,0.0028999999999999027,1.0934,0.006600000000000161
100,0.1,50,0.01,0.01,0.0726,1.1278,0.027799999999999825,-0.1,0.9600000000000001
100,0.1,50,0.01,0.0001,0.0105,0.8,0.30000000000000004,-2.0,0.94
100,0.1,50,0.0001,0.1,0.9024,0.8124,0.2876000000000001,0.338,0.762
100,0.1,50,0.0001,0.05,0.103,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.1,50,0.0001,0.01,0.2473,1.0973,0.0027000000000001467,-1.0615,0.0015000000000000568
100,0.1,50,0.0001,0.0001,0.8539,-0.445,0.615,-1.4988,0.43879999999999986
100,0.1,100,0.1,0.1,1.2572,1.1,0.0,-1.2306,0.17059999999999986
100,0.1,100,0.1,0.05,0.0605,1.0778,0.022199999999999998,-0.9828,0.07720000000000005
100,0.1,100,0.1,0.01,0.027,-1.3,0.24,-0.5,0.56
100,0.1,100,0.1,0.0001,0.0177,0.2,0.9000000000000001,-1.6,0.54
100,0.1,100,0.05,0.1,1.6582,1.3503,0.25029999999999997,0.8369,0.2631000000000001
100,0.1,100,0.05,0.05,0.0628,1.0778,0.022199999999999998,-0.1,0.9600000000000001
100,0.1,100,0.05,0.01,0.0432,-1.0,0.06000000000000005,-1.2,0.1399999999999999
100,0.1,100,0.05,0.0001,0.0172,-0.5,0.56,1.1,0.0
100,0.1,100,0.01,0.1,1.5319,1.1,0.0,0.3108,0.7892000000000001
100,0.1,100,0.01,0.05,0.0868,-1.0566,0.0034000000000000696,1.0934,0.006600000000000161
100,0.1,100,0.01,0.01,0.1896,-1.0876,0.027599999999999847,1.0657,0.0343
100,0.1,100,0.01,0.0001,0.0189,1.2,0.09999999999999987,-1.3,0.24
100,0.1,100,0.0001,0.1,1.8012,0.8369,0.2631000000000001,1.3553,0.25529999999999986
100,0.1,100,0.0001,0.05,0.1697,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.1,100,0.0001,0.01,0.4204,1.0973,0.0027000000000001467,-1.0614,0.0013999999999998458
100,0.1,100,0.0001,0.0001,1.7006,-0.5511,0.5089,1.4111,0.31109999999999993
100,0.1,150,0.1,0.1,2.0773,1.1,0.0,-1.2548,0.19479999999999986
100,0.1,150,0.1,0.05,0.0805,1.1226,0.022599999999999953,-0.9969,0.06310000000000004
100,0.1,150,0.1,0.01,0.0374,-1.3,0.24,1.2717,0.17169999999999996
100,0.1,150,0.1,0.0001,0.0262,-1.2,0.1399999999999999,-1.4,0.33999999999999986
100,0.1,150,0.05,0.1,2.585,1.3473,0.24729999999999985,-0.5933,0.4667
100,0.1,150,0.05,0.05,0.0857,-1.0464,0.013600000000000056,1.0778,0.022199999999999998
100,0.1,150,0.05,0.01,0.0687,-1.2134,0.15339999999999998,1.1,0.0
100,0.1,150,0.05,0.0001,0.0263,-1.0,0.06000000000000005,0.8,0.30000000000000004
100,0.1,150,0.01,0.1,2.5662,-0.9085,0.15150000000000008,1.1,0.0
100,0.1,150,0.01,0.05,0.1472,1.0934,0.006600000000000161,-1.0566,0.0034000000000000696
100,0.1,150,0.01,0.01,0.2448,-1.0893,0.02929999999999988,1.0677,0.032299999999999995
100,0.1,150,0.01,0.0001,0.0277,0.6,0.5000000000000001,-1.9,0.8399999999999999
100,0.1,150,0.0001,0.1,2.6546,1.3553,0.25529999999999986,-0.9212,0.13880000000000003
100,0.1,150,0.0001,0.05,0.2777,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.1,150,0.0001,0.01,0.7021,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.1,150,0.0001,0.0001,2.5507,-0.1,0.9600000000000001,-0.2235,0.8365
100,0.1,200,0.1,0.1,2.6461,-1.1273,0.06729999999999992,-0.1,0.9600000000000001
100,0.1,200,0.1,0.05,0.1341,1.0778,0.022199999999999998,-0.9969,0.06310000000000004
100,0.1,200,0.1,0.01,0.0817,-1.3,0.24,0.2,0.9000000000000001
100,0.1,200,0.1,0.0001,0.0528,-0.6,0.4600000000000001,-0.2,0.8600000000000001
100,0.1,200,0.05,0.1,3.1012,1.1,0.0,0.8124,0.2876000000000001
100,0.1,200,0.05,0.05,0.1672,-1.0763,0.01629999999999998,1.0778,0.022199999999999998
100,0.1,200,0.05,0.01,0.093,-1.2134,0.15339999999999998,-0.0,1.06
100,0.1,200,0.05,0.0001,0.0351,-1.1,0.040000000000000036,0.9,0.20000000000000007
100,0.1,200,0.01,0.1,3.0984,1.1,0.0,0.8369,0.2631000000000001
100,0.1,200,0.01,0.05,0.1884,-1.0566,0.0034000000000000696,1.0934,0.006600000000000161
100,0.1,200,0.01,0.01,0.3266,1.0716,0.02839999999999998,-1.0901,0.030100000000000016
100,0.1,200,0.01,0.0001,0.0364,-0.7,0.3600000000000001,1.4,0.2999999999999998
100,0.1,200,0.0001,0.1,3.4685,1.3553,0.25529999999999986,0.8369,0.2631000000000001
100,0.1,200,0.0001,0.05,0.3459,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.1,200,0.0001,0.01,0.8174,1.0973,0.0027000000000001467,-1.0614,0.0013999999999998458
100,0.1,200,0.0001,0.0001,3.2597,0.7604,0.3396000000000001,-1.4036,0.3435999999999999
100,0.2,50,0.1,0.1,0.6065,0.338,0.762,0.8359,0.2641000000000001
100,0.2,50,0.1,0.05,0.0266,-0.1,0.9600000000000001,1.0778,0.022199999999999998
100,0.2,50,0.1,0.01,0.0159,1.2477,0.14769999999999994,-0.6,0.4600000000000001
100,0.2,50,0.1,0.0001,0.0095,1.7,0.5999999999999999,-1.7,0.6399999999999999
100,0.2,50,0.05,0.1,0.7852,1.3502,0.2502,-0.9212,0.13880000000000003
100,0.2,50,0.05,0.05,0.0295,1.0778,0.022199999999999998,-1.0464,0.013600000000000056
100,0.2,50,0.05,0.01,0.024,-1.1923,0.13229999999999986,1.1959,0.09589999999999987
100,0.2,50,0.05,0.0001,0.0091,-1.5,0.43999999999999995,-1.0,0.06000000000000005
100,0.2,50,0.01,0.1,0.7828,-1.2548,0.19479999999999986,0.8369,0.2631000000000001
100,0.2,50,0.01,0.05,0.0398,1.0934,0.006600000000000161,-1.0578,0.0021999999999999797
100,0.2,50,0.01,0.01,0.0785,-1.0248,0.03520000000000012,1.0696,0.030399999999999983
100,0.2,50,0.01,0.0001,0.0091,1.6,0.5,0.7,0.40000000000000013
100,0.2,50,0.0001,0.1,0.8765,0.769,0.33100000000000007,-0.6913,0.3687
100,0.2,50,0.0001,0.05,0.1096,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,50,0.0001,0.01,0.202,-1.0621,0.0020999999999999908,1.0979,0.0020999999999999908
100,0.2,50,0.0001,0.0001,0.8504,-0.931,0.129,0.9402,0.15980000000000005
100,0.2,100,0.1,0.1,1.2363,-0.6913,0.3687,1.1,0.0
100,0.2,100,0.1,0.05,0.056,-1.0,0.06000000000000005,-0.0328,1.0272000000000001
100,0.2,100,0.1,0.01,0.0266,0.0,1.06,0.5,0.6000000000000001
100,0.2,100,0.1,0.0001,0.0187,-0.1,0.9600000000000001,-1.0,0.06000000000000005
100,0.2,100,0.05,0.1,1.6127,1.1,0.0,-1.2306,0.17059999999999986
100,0.2,100,0.05,0.05,0.0675,1.1226,0.022599999999999953,-1.0763,0.01629999999999998
100,0.2,100,0.05,0.01,0.0477,-1.2134,0.15339999999999998,-0.9,0.16000000000000003
100,0.2,100,0.05,0.0001,0.0189,0.4,0.7000000000000001,-1.9,0.8399999999999999
100,0.2,100,0.01,0.1,1.6001,0.338,0.762,-1.1184,0.05840000000000001
100,0.2,100,0.01,0.05,0.0877,-1.0566,0.0034000000000000696,1.0934,0.006600000000000161
100,0.2,100,0.01,0.01,0.1665,-1.0243,0.035700000000000065,1.1238,0.02379999999999982
100,0.2,100,0.01,0.0001,0.0186,-0.8,0.26,0.9,0.20000000000000007
100,0.2,100,0.0001,0.1,1.8624,0.3484,0.7516,-0.9212,0.13880000000000003
100,0.2,100,0.0001,0.05,0.1883,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.2,100,0.0001,0.01,0.4042,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.2,100,0.0001,0.0001,1.5227,-1.58,0.52,-0.8434,0.21660000000000001
100,0.2,150,0.1,0.1,1.8933,1.1,0.0,-0.0,1.06
100,0.2,150,0.1,0.05,0.0899,1.1226,0.022599999999999953,-1.0761,0.016100000000000003
100,0.2,150,0.1,0.01,0.0407,-1.3,0.24,0.7,0.40000000000000013
100,0.2,150,0.1,0.0001,0.0277,-0.1,0.9600000000000001,-0.7,0.3600000000000001
100,0.2,150,0.05,0.1,2.215,1.3503,0.25029999999999997,1.1,0.0
100,0.2,150,0.05,0.05,0.0824,-1.0763,0.01629999999999998,1.1226,0.022599999999999953
100,0.2,150,0.05,0.01,0.0712,1.1959,0.09589999999999987,-1.2134,0.15339999999999998
100,0.2,150,0.05,0.0001,0.027,-0.7,0.3600000000000001,-1.6,0.54
100,0.2,150,0.01,0.1,2.1941,1.1,0.0,-1.1273,0.06729999999999992
100,0.2,150,0.01,0.05,0.127,1.0934,0.006600000000000161,-1.0664,0.006399999999999961
100,0.2,150,0.01,0.01,0.2386,1.1278,0.027799999999999825,-1.0272,0.03280000000000016
100,0.2,150,0.01,0.0001,0.0263,1.6,0.5,-0.7,0.3600000000000001
100,0.2,150,0.0001,0.1,2.4476,-1.1184,0.05840000000000001,0.3156,0.7844000000000001
100,0.2,150,0.0001,0.05,0.2579,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.2,150,0.0001,0.01,0.6005,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.2,150,0.0001,0.0001,2.2454,-1.0975,0.03749999999999987,-0.445,0.615
100,0.2,200,0.1,0.1,2.534,1.1,0.0,0.8369,0.2631000000000001
100,0.2,200,0.1,0.05,0.102,1.0778,0.022199999999999998,-1.1,0.040000000000000036
100,0.2,200,0.1,0.01,0.0526,-1.3,0.24,1.31,0.20999999999999996
100,0.2,200,0.1,0.0001,0.0425,-0.1,0.9600000000000001,1.4,0.2999999999999998
100,0.2,200,0.05,0.1,3.2258,1.1,0.0,-1.1342,0.07420000000000004
100,0.2,200,0.05,0.05,0.1239,-1.0464,0.013600000000000056,1.1155,0.015499999999999847
100,0.2,200,0.05,0.01,0.1002,-1.2134,0.15339999999999998,1.1969,0.09689999999999999
100,0.2,200,0.05,0.0001,0.0353,-1.7,0.6399999999999999,1.1,0.0
100,0.2,200,0.01,0.1,2.9874,1.1,0.0,-0.5933,0.4667
100,0.2,200,0.01,0.05,0.1686,-1.0566,0.0034000000000000696,1.1027,0.0026999999999999247
100,0.2,200,0.01,0.01,0.3167,1.1247,0.024699999999999944,-1.0876,0.027599999999999847
100,0.2,200,0.01,0.0001,0.0343,0.2,0.9000000000000001,-0.8,0.26
100,0.2,200,0.0001,0.1,3.2517,1.3473,0.24729999999999985,0.8371,0.26290000000000013
100,0.2,200,0.0001,0.05,0.3423,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.2,200,0.0001,0.01,0.813,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.2,200,0.0001,0.0001,2.8431,-1.0975,0.03749999999999987,1.4111,0.31109999999999993
100,0.25,50,0.1,0.1,0.5974,1.1,0.0,0.3108,0.7892000000000001
100,0.25,50,0.1,0.05,0.0255,-0.9969,0.06310000000000004,1.0527,0.04730000000000012
100,0.25,50,0.1,0.01,0.013,-1.2374,0.1774,1.3,0.19999999999999996
100,0.25,50,0.1,0.0001,0.0089,1.6,0.5,-0.5,0.56
100,0.25,50,0.05,0.1,0.7207,1.1,0.0,0.3366,0.7634000000000001
100,0.25,50,0.05,0.05,0.0305,-0.0328,1.0272000000000001,1.0778,0.022199999999999998
100,0.25,50,0.05,0.01,0.0197,1.2,0.09999999999999987,-1.2,0.1399999999999999
100,0.25,50,0.05,0.0001,0.0093,-0.8,0.26,1.5,0.3999999999999999
100,0.25,50,0.01,0.1,0.7496,-1.251,0.19099999999999984,0.3156,0.7844000000000001
100,0.25,50,0.01,0.05,0.0466,1.0934,0.006600000000000161,-1.0566,0.0034000000000000696
100,0.25,50,0.01,0.01,0.0843,-1.0876,0.027599999999999847,1.1247,0.024699999999999944
100,0.25,50,0.01,0.0001,0.0089,-0.5,0.56,1.5,0.3999999999999999
100,0.25,50,0.0001,0.1,0.8122,1.3553,0.25529999999999986,-0.9013,0.15870000000000006
100,0.25,50,0.0001,0.05,0.0867,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.25,50,0.0001,0.01,0.2091,-1.0621,0.0020999999999999908,1.0973,0.0027000000000001467
100,0.25,50,0.0001,0.0001,0.7041,-0.0,1.06,1.2381,0.1380999999999999
100,0.25,100,0.1,0.1,1.1052,1.1,0.0,-0.9212,0.13880000000000003
100,0.25,100,0.1,0.05,0.0496,1.0778,0.022199999999999998,-1.0676,0.007600000000000051
100,0.25,100,0.1,0.01,0.0242,1.3,0.19999999999999996,-0.9,0.16000000000000003
100,0.25,100,0.1,0.0001,0.0174,-0.4,0.66,-1.1,0.040000000000000036
100,0.25,100,0.05,0.1,1.5222,-1.1184,0.05840000000000001,-0.0172,1.0428
100,0.25,100,0.05,0.05,0.0581,-1.0464,0.013600000000000056,-0.0328,1.0272000000000001
100,0.25,100,0.05,0.01,0.0475,-0.7577,0.3023,-1.2134,0.15339999999999998
100,0.25,100,0.05,0.0001,0.0177,1.2,0.09999999999999987,0.3,0.8
100,0.25,100,0.01,0.1,1.6537,0.3156,0.7844000000000001,-1.2419,0.18189999999999995
100,0.25,100,0.01,0.05,0.0901,-1.0566,0.0034000000000000696,1.0934,0.006600000000000161
100,0.25,100,0.01,0.01,0.1455,1.1,0.0,-1.0894,0.02939999999999987
100,0.25,100,0.01,0.0001,0.0177,-1.8,0.74,0.8,0.30000000000000004
100,0.25,100,0.0001,0.1,1.7741,-1.2306,0.17059999999999986,0.3484,0.7516
100,0.25,100,0.0001,0.05,0.1777,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.25,100,0.0001,0.01,0.4552,1.0973,0.0027000000000001467,-1.0614,0.0013999999999998458
100,0.25,100,0.0001,0.0001,1.5504,0.2341,0.8659000000000001,0.8529,0.2471000000000001
100,0.25,150,0.1,0.1,1.5742,1.1,0.0,-1.2419,0.18189999999999995
100,0.25,150,0.1,0.05,0.0831,1.1226,0.022599999999999953,-1.0464,0.013600000000000056
100,0.25,150,0.1,0.01,0.0374,-0.3,0.76,0.3,0.8
100,0.25,150,0.1,0.0001,0.0258,-1.0,0.06000000000000005,-0.5,0.56
100,0.25,150,0.05,0.1,2.3184,-0.6913,0.3687,0.8359,0.2641000000000001
100,0.25,150,0.05,0.05,0.0894,-1.0753,0.01529999999999987,1.1226,0.022599999999999953
100,0.25,150,0.05,0.01,0.0722,0.8622,0.23780000000000012,-1.1923,0.13229999999999986
100,0.25,150,0.05,0.0001,0.0278,0.2,0.9000000000000001,-0.4,0.66
100,0.25,150,0.01,0.1,2.321,1.3503,0.25029999999999997,1.1,0.0
100,0.25,150,0.01,0.05,0.1277,1.0934,0.006600000000000161,-1.0567,0.0033000000000000806
100,0.25,150,0.01,0.01,0.2566,-1.0876,0.027599999999999847,1.1211,0.021099999999999897
100,0.25,150,0.01,0.0001,0.0264,-1.6,0.54,-1.0,0.06000000000000005
100,0.25,150,0.0001,0.1,2.4763,1.3553,0.25529999999999986,0.3156,0.7844000000000001
100,0.25,150,0.0001,0.05,0.2494,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.25,150,0.0001,0.01,0.6228,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.25,150,0.0001,0.0001,2.1552,0.8529,0.2471000000000001,-0.2235,0.8365
100,0.25,200,0.1,0.1,2.2861,1.1,0.0,-1.1273,0.06729999999999992
100,0.25,200,0.1,0.05,0.1064,-0.9969,0.06310000000000004,1.1226,0.022599999999999953
100,0.25,200,0.1,0.01,0.0496,-1.3,0.24,0.1,1.0
100,0.25,200,0.1,0.0001,0.0348,0.3,0.8,-1.1,0.040000000000000036
100,0.25,200,0.05,0.1,3.0265,1.1,0.0,-0.5933,0.4667
100,0.25,200,0.05,0.05,0.1203,-1.0763,0.01629999999999998,1.1226,0.022599999999999953
100,0.25,200,0.05,0.01,0.0912,-1.2134,0.15339999999999998,-0.1,0.9600000000000001
100,0.25,200,0.05,0.0001,0.0353,-1.2,0.1399999999999999,0.7,0.40000000000000013
100,0.25,200,0.01,0.1,3.0882,1.1,0.0,1.3553,0.25529999999999986
100,0.25,200,0.01,0.05,0.1696,-1.0566,0.0034000000000000696,1.1027,0.0026999999999999247
100,0.25,200,0.01,0.01,0.3027,-1.0876,0.027599999999999847,1.1247,0.024699999999999944
100,0.25,200,0.01,0.0001,0.036,1.6,0.5,-1.1,0.040000000000000036
100,0.25,200,0.0001,0.1,3.2898,-1.251,0.19099999999999984,0.3484,0.7516
100,0.25,200,0.0001,0.05,0.334,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.25,200,0.0001,0.01,0.801,1.0973,0.0027000000000001467,-1.0621,0.0020999999999999908
100,0.25,200,0.0001,0.0001,2.8921,1.0224,0.07760000000000011,1.4603,0.36029999999999984
100,0.5,50,0.1,0.1,0.5165,1.1,0.0,-0.0172,1.0428
100,0.5,50,0.1,0.05,0.0255,-0.9969,0.06310000000000004,1.1209,0.02089999999999992
100,0.5,50,0.1,0.01,0.0137,1.2,0.09999999999999987,-0.0,1.06
100,0.5,50,0.1,0.0001,0.0091,0.8,0.30000000000000004,-1.1,0.040000000000000036
100,0.5,50,0.05,0.1,0.7405,1.1,0.0,-1.2548,0.19479999999999986
100,0.5,50,0.05,0.05,0.0294,1.125,0.02499999999999991,-1.0763,0.01629999999999998
100,0.5,50,0.05,0.01,0.022,-0.3,0.76,1.2286,0.12859999999999983
100,0.5,50,0.05,0.0001,0.009,1.2,0.09999999999999987,0.6,0.5000000000000001
100,0.5,50,0.01,0.1,0.7694,-1.2419,0.18189999999999995,0.3484,0.7516
100,0.5,50,0.01,0.05,0.0444,-1.0566,0.0034000000000000696,1.0937,0.006300000000000194
100,0.5,50,0.01,0.01,0.0787,1.1285,0.02849999999999997,-1.0876,0.027599999999999847
100,0.5,50,0.01,0.0001,0.009,0.5,0.6000000000000001,-1.4,0.33999999999999986
100,0.5,50,0.0001,0.1,0.8115,0.338,0.762,1.3473,0.24729999999999985
100,0.5,50,0.0001,0.05,0.0838,1.0976,0.0024000000000001798,-1.0617,0.0017000000000000348
100,0.5,50,0.0001,0.01,0.217,1.0973,0.0027000000000001467,-1.0614,0.0013999999999998458
