N_iter,Min_dist,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1,0.0208,-1.125,0.125,0.1,0.9
100,0.1,50,0.1,0.05,0.0107,1.0,0.0,0.4,0.6
100,0.1,50,0.1,0.01,0.0077,-1.7,0.7,1.2,0.19999999999999996
100,0.1,50,0.1,0.0001,0.0079,-1.6,0.6000000000000001,-0.9,0.09999999999999998
100,0.1,50,0.05,0.1,0.021,0.8847,0.11529999999999996,1.0944,0.09440000000000004
100,0.1,50,0.05,0.05,0.0149,0.6,0.4,-1.1894,0.1894
100,0.1,50,0.05,0.01,0.0103,0.8,0.19999999999999996,-0.8,0.19999999999999996
100,0.1,50,0.05,0.0001,0.0075,-1.3,0.30000000000000004,2.0,1.0
100,0.1,50,0.01,0.1,0.0461,0.9936,0.006399999999999961,-1.0,0.0
100,0.1,50,0.01,0.05,0.0652,-1.0458,0.04580000000000006,0.9543,0.04569999999999996
100,0.1,50,0.01,0.01,0.0409,-0.1,0.9,-1.1832,0.18320000000000003
100,0.1,50,0.01,0.0001,0.007,0.3,0.7,1.7,0.7
100,0.1,50,0.0001,0.1,0.1009,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,50,0.0001,0.05,0.1905,-1.0004,0.00039999999999995595,0.9995,0.0004999999999999449
100,0.1,50,0.0001,0.01,0.5913,-0.9976,0.0023999999999999577,0.9849,0.015100000000000002
100,0.1,50,0.0001,0.0001,0.3475,-1.6403,0.6403000000000001,1.7257,0.7257
100,0.1,100,0.1,0.1,0.0197,-0.8,0.19999999999999996,0.9082,0.09179999999999999
100,0.1,100,0.1,0.05,0.024,0.0,1.0,-1.2656,0.26560000000000006
100,0.1,100,0.1,0.01,0.0143,1.2,0.19999999999999996,1.7,0.7
100,0.1,100,0.1,0.0001,0.0157,-1.1,0.10000000000000009,1.5,0.5
100,0.1,100,0.05,0.1,0.0362,0.1,0.9,-0.2,0.8
100,0.1,100,0.05,0.05,0.028,1.1728,0.17280000000000006,0.7,0.30000000000000004
100,0.1,100,0.05,0.01,0.0216,0.8,0.19999999999999996,1.6,0.6000000000000001
100,0.1,100,0.05,0.0001,0.0138,0.7,0.30000000000000004,0.4,0.6
100,0.1,100,0.01,0.1,0.0882,0.0,1.0,1.0219,0.02190000000000003
100,0.1,100,0.01,0.05,0.1304,-1.0386,0.03859999999999997,1.0467,0.046699999999999964
100,0.1,100,0.01,0.01,0.0763,0.7,0.30000000000000004,-0.5,0.5
100,0.1,100,0.01,0.0001,0.0158,-1.6,0.6000000000000001,0.8,0.19999999999999996
100,0.1,100,0.0001,0.1,0.2092,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,100,0.0001,0.05,0.4247,1.0004,0.00039999999999995595,-1.0004,0.00039999999999995595
100,0.1,100,0.0001,0.01,1.2179,1.0057,0.005700000000000038,-0.9563,0.04369999999999996
100,0.1,100,0.0001,0.0001,0.5805,-0.0,1.0,-1.2828,0.28279999999999994
100,0.1,150,0.1,0.1,0.0372,0.4,0.6,0.1,0.9
100,0.1,150,0.1,0.05,0.0404,1.2656,0.26560000000000006,0.8,0.19999999999999996
100,0.1,150,0.1,0.01,0.0258,-0.8,0.19999999999999996,-1.8,0.8
100,0.1,150,0.1,0.0001,0.0306,-1.7,0.7,0.5,0.5
100,0.1,150,0.05,0.1,0.0722,-0.8703,0.12970000000000004,0.1,0.9
100,0.1,150,0.05,0.05,0.0487,0.9,0.09999999999999998,-1.1884,0.1883999999999999
100,0.1,150,0.05,0.01,0.0442,0.7,0.30000000000000004,-1.5809,0.5809
100,0.1,150,0.05,0.0001,0.0274,-0.5,0.5,0.3,0.7
100,0.1,150,0.01,0.1,0.1763,-1.0177,0.01770000000000005,0.9838,0.016199999999999992
100,0.1,150,0.01,0.05,0.262,-1.0,0.0,0.9534,0.046599999999999975
100,0.1,150,0.01,0.01,0.1736,1.184,0.18399999999999994,-1.1824,0.1823999999999999
100,0.1,150,0.01,0.0001,0.0223,-1.1,0.10000000000000009,0.1,0.9
100,0.1,150,0.0001,0.1,0.3421,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,150,0.0001,0.05,0.6821,1.0004,0.00039999999999995595,-1.0004,0.00039999999999995595
100,0.1,150,0.0001,0.01,1.7174,1.005,0.004999999999999893,-0.8327,0.1673
100,0.1,150,0.0001,0.0001,0.7042,-0.4,0.6,-0.0,1.0
100,0.1,200,0.1,0.1,0.0393,-1.125,0.125,0.5,0.5
100,0.1,200,0.1,0.05,0.0463,-1.2392,0.23920000000000008,1.2677,0.26770000000000005
100,0.1,200,0.1,0.01,0.0293,-0.5,0.5,-1.4,0.3999999999999999
100,0.1,200,0.1,0.0001,0.0288,1.3,0.30000000000000004,-0.2,0.8
100,0.1,200,0.05,0.1,0.072,0.8576,0.14239999999999997,-1.0652,0.06519999999999992
100,0.1,200,0.05,0.05,0.0529,-0.3,0.7,-1.1,0.10000000000000009
100,0.1,200,0.05,0.01,0.04,-1.1,0.10000000000000009,-1.6,0.6000000000000001
100,0.1,200,0.05,0.0001,0.0291,-1.7,0.7,-0.5,0.5
100,0.1,200,0.01,0.1,0.1864,-0.9747,0.02529999999999999,1.0169,0.016899999999999915
100,0.1,200,0.01,0.05,0.2959,-1.0386,0.03859999999999997,0.9522,0.047799999999999954
100,0.1,200,0.01,0.01,0.1689,0.1,0.9,-0.1,0.9
100,0.1,200,0.01,0.0001,0.0283,1.3,0.30000000000000004,0.9,0.09999999999999998
100,0.1,200,0.0001,0.1,0.3734,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.1,200,0.0001,0.05,0.7713,0.9995,0.0004999999999999449,-1.0004,0.00039999999999995595
100,0.1,200,0.0001,0.01,2.2612,-0.9849,0.015100000000000002,-0.591,0.40900000000000003
100,0.1,200,0.0001,0.0001,0.9521,-0.4,0.6,1.4645,0.4644999999999999
100,0.2,50,0.1,0.1,0.0115,0.8,0.19999999999999996,-0.2,0.8
100,0.2,50,0.1,0.05,0.0114,0.1,0.9,0.7,0.30000000000000004
100,0.2,50,0.1,0.01,0.0081,-0.5,0.5,0.7,0.30000000000000004
100,0.2,50,0.1,0.0001,0.0071,0.8,0.19999999999999996,-0.7,0.30000000000000004
100,0.2,50,0.05,0.1,0.0197,-1.0944,0.09440000000000004,0.1,0.9
100,0.2,50,0.05,0.05,0.0144,1.1894,0.1894,-1.1894,0.1894
100,0.2,50,0.05,0.01,0.0108,0.3,0.7,0.7,0.30000000000000004
100,0.2,50,0.05,0.0001,0.0066,0.5,0.5,1.4,0.3999999999999999
100,0.2,50,0.01,0.1,0.0563,1.0177,0.01770000000000005,-0.9804,0.01959999999999995
100,0.2,50,0.01,0.05,0.0713,1.0375,0.03750000000000009,-0.947,0.05300000000000005
100,0.2,50,0.01,0.01,0.0513,-0.1,0.9,-0.8,0.19999999999999996
100,0.2,50,0.01,0.0001,0.0072,0.6,0.4,-1.5,0.5
100,0.2,50,0.0001,0.1,0.0966,-0.9998,0.00019999999999997797,0.9998,0.00019999999999997797
100,0.2,50,0.0001,0.05,0.1969,1.0004,0.00039999999999995595,-0.9995,0.0004999999999999449
100,0.2,50,0.0001,0.01,0.5452,-0.9563,0.04369999999999996,1.0057,0.005700000000000038
100,0.2,50,0.0001,0.0001,0.3171,1.8096,0.8096000000000001,-1.6403,0.6403000000000001
100,0.2,100,0.1,0.1,0.0194,-1.125,0.125,-0.7,0.30000000000000004
100,0.2,100,0.1,0.05,0.0243,-1.2656,0.26560000000000006,1.2392,0.23920000000000008
100,0.2,100,0.1,0.01,0.014,0.3,0.7,1.2,0.19999999999999996
100,0.2,100,0.1,0.0001,0.0151,-1.4,0.3999999999999999,-1.9,0.8999999999999999
100,0.2,100,0.05,0.1,0.0405,-0.0,1.0,-0.8576,0.14239999999999997
100,0.2,100,0.05,0.05,0.0308,-1.1589,0.15890000000000004,1.0,0.0
100,0.2,100,0.05,0.01,0.0227,1.2,0.19999999999999996,-0.1,0.9
100,0.2,100,0.05,0.0001,0.0154,1.9,0.8999999999999999,-0.9,0.09999999999999998
100,0.2,100,0.01,0.1,0.0932,-0.9747,0.02529999999999999,0.9776,0.022399999999999975
100,0.2,100,0.01,0.05,0.128,-1.0386,0.03859999999999997,1.0386,0.03859999999999997
100,0.2,100,0.01,0.01,0.0906,-1.184,0.18399999999999994,0.1,0.9
100,0.2,100,0.01,0.0001,0.014,-0.3,0.7,1.2,0.19999999999999996
100,0.2,100,0.0001,0.1,0.2019,0.9998,0.00019999999999997797,-1.0002,0.00019999999999997797
100,0.2,100,0.0001,0.05,0.3926,-0.9995,0.0004999999999999449,1.0004,0.00039999999999995595
100,0.2,100,0.0001,0.01,1.1473,-1.0025,0.0024999999999999467,0.9911,0.008900000000000019
100,0.2,100,0.0001,0.0001,0.4603,0.4,0.6,0.0,1.0
100,0.2,150,0.1,0.1,0.0306,-1.0574,0.057399999999999896,-0.4,0.6
100,0.2,150,0.1,0.05,0.032,0.9,0.09999999999999998,-1.2656,0.26560000000000006
100,0.2,150,0.1,0.01,0.0219,0.5,0.5,-0.1,0.9
100,0.2,150,0.1,0.0001,0.0214,0.6,0.4,1.4,0.3999999999999999
100,0.2,150,0.05,0.1,0.0651,-1.1,0.10000000000000009,0.8431,0.15690000000000004
100,0.2,150,0.05,0.05,0.0419,1.1728,0.17280000000000006,-0.2,0.8
100,0.2,150,0.05,0.01,0.0324,-1.5954,0.5953999999999999,-1.0,0.0
100,0.2,150,0.05,0.0001,0.0206,1.8,0.8,0.1,0.9
100,0.2,150,0.01,0.1,0.1337,1.0177,0.01770000000000005,-0.9747,0.02529999999999999
100,0.2,150,0.01,0.05,0.2072,-0.9508,0.04920000000000002,0.9484,0.05159999999999998
100,0.2,150,0.01,0.01,0.1435,-0.7,0.30000000000000004,-0.2,0.8
100,0.2,150,0.01,0.0001,0.0204,0.4,0.6,-0.1,0.9
100,0.2,150,0.0001,0.1,0.2982,-0.9998,0.00019999999999997797,0.9998,0.00019999999999997797
100,0.2,150,0.0001,0.05,0.5612,-1.0004,0.00039999999999995595,1.0004,0.00039999999999995595
100,0.2,150,0.0001,0.01,1.6371,-0.591,0.40900000000000003,1.0054,0.005400000000000071
100,0.2,150,0.0001,0.0001,0.7134,-0.6,0.4,0.7,0.30000000000000004
100,0.2,200,0.1,0.1,0.0385,0.8,0.19999999999999996,0.0,1.0
100,0.2,200,0.1,0.05,0.0404,1.2392,0.23920000000000008,-0.3,0.7
100,0.2,200,0.1,0.01,0.0283,-1.9,0.8999999999999999,0.4,0.6
100,0.2,200,0.1,0.0001,0.0281,-0.5,0.5,1.1,0.10000000000000009
100,0.2,200,0.05,0.1,0.0763,-0.8847,0.11529999999999996,-1.1008,0.1008
100,0.2,200,0.05,0.05,0.0495,-0.5,0.5,0.0,1.0
100,0.2,200,0.05,0.01,0.0437,-0.0,1.0,1.2,0.19999999999999996
100,0.2,200,0.05,0.0001,0.0277,1.2,0.19999999999999996,1.9,0.8999999999999999
100,0.2,200,0.01,0.1,0.1794,0.9798,0.020199999999999996,-0.9763,0.023700000000000054
100,0.2,200,0.01,0.05,0.237,-1.0386,0.03859999999999997,-0.1,0.9
100,0.2,200,0.01,0.01,0.1735,0.1,0.9,1.1827,0.18270000000000008
100,0.2,200,0.01,0.0001,0.0277,0.8,0.19999999999999996,1.8,0.8
100,0.2,200,0.0001,0.1,0.3649,-0.9998,0.00019999999999997797,0.9998,0.00019999999999997797
100,0.2,200,0.0001,0.05,0.7566,0.9995,0.0004999999999999449,-1.0004,0.00039999999999995595
100,0.2,200,0.0001,0.01,2.1656,-0.9911,0.008900000000000019,1.0046,0.0045999999999999375
100,0.2,200,0.0001,0.0001,1.046,0.1,0.9,0.8,0.19999999999999996
100,0.25,50,0.1,0.1,0.0108,1.1008,0.1008,-0.7,0.30000000000000004
100,0.25,50,0.1,0.05,0.0137,1.2656,0.26560000000000006,-1.2677,0.26770000000000005
100,0.25,50,0.1,0.01,0.0074,0.4,0.6,-1.8,0.8
100,0.25,50,0.1,0.0001,0.0083,-0.1,0.9,-1.7,0.7
100,0.25,50,0.05,0.1,0.0223,1.0633,0.06329999999999991,-1.0652,0.06519999999999992
100,0.25,50,0.05,0.05,0.0157,-0.3,0.7,-1.1825,0.1825000000000001
100,0.25,50,0.05,0.01,0.0118,-1.4,0.3999999999999999,-0.9,0.09999999999999998
100,0.25,50,0.05,0.0001,0.0072,-0.6,0.4,0.3,0.7
100,0.25,50,0.01,0.1,0.05,-0.9839,0.016100000000000003,0.9839,0.016100000000000003
100,0.25,50,0.01,0.05,0.0675,-0.9534,0.046599999999999975,1.0417,0.04170000000000007
100,0.25,50,0.01,0.01,0.0451,1.0,0.0,0.3,0.7
100,0.25,50,0.01,0.0001,0.0065,-1.3,0.30000000000000004,1.6,0.6000000000000001
100,0.25,50,0.0001,0.1,0.0885,0.9998,0.00019999999999997797,-0.9998,0.00019999999999997797
100,0.25,50,0.0001,0.05,0.1865,-1.0004,0.00039999999999995595,0.9995,0.0004999999999999449
100,0.25,50,0.0001,0.01,0.5131,-0.9976,0.0023999999999999577,1.005,0.004999999999999893
100,0.25,50,0.0001,0.0001,0.2266,-0.4,0.6,1.2828,0.28279999999999994
100,0.25,100,0.1,0.1,0.0189,0.8,0.19999999999999996,-1.1,0.10000000000000009
100,0.25,100,0.1,0.05,0.0194,1.3125,0.3125,-1.2,0.19999999999999996
100,0.25,100,0.1,0.01,0.0146,0.4,0.6,-0.5,0.5
100,0.25,100,0.1,0.0001,0.0146,1.7,0.7,-1.4,0.3999999999999999
100,0.25,100,0.05,0.1,0.043,-0.9936,0.006399999999999961,1.1008,0.1008
100,0.25,100,0.05,0.05,0.0296,-0.5,0.5,1.1884,0.1883999999999999
100,0.25,100,0.05,0.01,0.0218,0.9,0.09999999999999998,-0.7,0.30000000000000004
100,0.25,100,0.05,0.0001,0.0148,-1.1,0.10000000000000009,-0.3,0.7
100,0.25,100,0.01,0.1,0.0906,0.9763,0.023700000000000054,-1.0188,0.018799999999999928
100,0.25,100,0.01,0.05,0.1394,0.9484,0.05159999999999998,-0.947,0.05300000000000005
