N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
100,50,0.1,0.1,0.0167,2.4,1.2774999999999999
100,50,0.1,0.05,0.0162,2.4,1.2774999999999999
100,50,0.1,0.01,0.0145,1.0,0.12250000000000005
100,50,0.1,0.0001,0.0139,1.7,0.5774999999999999
100,50,0.05,0.1,0.0149,2.3,1.1774999999999998
100,50,0.05,0.05,0.0137,2.2,1.0775000000000001
100,50,0.05,0.01,0.0142,2.1,0.9775
100,50,0.05,0.0001,0.0131,2.2,1.0775000000000001
100,50,0.01,0.1,0.0323,-2.1983,3.3208
100,50,0.01,0.05,0.0148,0.9,0.22250000000000003
100,50,0.01,0.01,0.0143,2.4,1.2774999999999999
100,50,0.01,0.0001,0.0137,2.0,0.8775
100,50,0.0001,0.1,0.283,2.7,1.5775000000000001
100,50,0.0001,0.05,0.2604,64933977.8308,64933976.708299994
100,50,0.0001,0.01,0.2086,3.1716,2.0491
100,50,0.0001,0.0001,0.0129,1.8,0.6775
100,100,0.1,0.1,0.0271,1.0,0.12250000000000005
100,100,0.1,0.05,0.025,0.9,0.22250000000000003
100,100,0.1,0.01,0.0269,1.7,0.5774999999999999
100,100,0.1,0.0001,0.0246,2.0,0.8775
100,100,0.05,0.1,0.0263,1.8,0.6775
100,100,0.05,0.05,0.0253,2.9,1.7774999999999999
100,100,0.05,0.01,0.0287,2.1,0.9775
100,100,0.05,0.0001,0.0275,1.5,0.37749999999999995
100,100,0.01,0.1,0.0378,1.2,0.0774999999999999
100,100,0.01,0.05,0.0312,1.0,0.12250000000000005
100,100,0.01,0.01,0.0258,2.0,0.8775
100,100,0.01,0.0001,0.0217,2.5,1.3775
100,100,0.0001,0.1,0.7366,2.4,1.2774999999999999
100,100,0.0001,0.05,0.7536,-14184.9631,14186.0856
100,100,0.0001,0.01,0.4598,1.0666,0.05590000000000006
100,100,0.0001,0.0001,0.0199,2.9,1.7774999999999999
100,150,0.1,0.1,0.0277,1.9,0.7774999999999999
100,150,0.1,0.05,0.0283,1.5,0.37749999999999995
100,150,0.1,0.01,0.0287,1.5,0.37749999999999995
100,150,0.1,0.0001,0.0304,2.1,0.9775
100,150,0.05,0.1,0.029,1.3,0.1775
100,150,0.05,0.05,0.0394,1.4,0.27749999999999986
100,150,0.05,0.01,0.0373,2.8,1.6774999999999998
100,150,0.05,0.0001,0.0452,2.8,1.6774999999999998
100,150,0.01,0.1,0.0546,2.8,1.6774999999999998
100,150,0.01,0.05,0.0376,2.5,1.3775
100,150,0.01,0.01,0.0343,2.8,1.6774999999999998
100,150,0.01,0.0001,0.0242,1.2,0.0774999999999999
100,150,0.0001,0.1,0.9958,70392.3847,70391.2622
100,150,0.0001,0.05,0.9466,2.6,1.4775
100,150,0.0001,0.01,1.3022,2.0,0.8775
100,150,0.0001,0.0001,0.0529,1.4,0.27749999999999986
100,200,0.1,0.1,0.0737,1.8,0.6775
100,200,0.1,0.05,0.0694,2.5,1.3775
100,200,0.1,0.01,0.0742,2.8,1.6774999999999998
100,200,0.1,0.0001,0.0697,1.0,0.12250000000000005
100,200,0.05,0.1,0.1154,0.9,0.22250000000000003
100,200,0.05,0.05,0.0733,2.7,1.5775000000000001
100,200,0.05,0.01,0.0823,1.4,0.27749999999999986
100,200,0.05,0.0001,0.1084,1.3,0.1775
100,200,0.01,0.1,0.1553,1.1,0.022499999999999964
100,200,0.01,0.05,0.1102,2.4,1.2774999999999999
100,200,0.01,0.01,0.0981,2.0,0.8775
100,200,0.01,0.0001,0.0824,2.9,1.7774999999999999
100,200,0.0001,0.1,3.0371,70392.3847,70391.2622
100,200,0.0001,0.05,2.5945,2.3,1.1774999999999998
100,200,0.0001,0.01,1.7821,2.0,0.8775
100,200,0.0001,0.0001,0.0623,2.4,1.2774999999999999
500,50,0.1,0.1,0.0149,2.8,1.6774999999999998
500,50,0.1,0.05,0.0153,2.5,1.3775
500,50,0.1,0.01,0.0147,2.5,1.3775
500,50,0.1,0.0001,0.0132,1.2,0.0774999999999999
500,50,0.05,0.1,0.0162,1.0,0.12250000000000005
500,50,0.05,0.05,0.0174,1.8,0.6775
500,50,0.05,0.01,0.0174,2.7,1.5775000000000001
500,50,0.05,0.0001,0.0173,1.2,0.0774999999999999
500,50,0.01,0.1,0.0212,1.1,0.022499999999999964
500,50,0.01,0.05,0.0156,2.5,1.3775
500,50,0.01,0.01,0.0119,2.5,1.3775
500,50,0.01,0.0001,0.0166,2.4,1.2774999999999999
500,50,0.0001,0.1,1.6567,1.9,0.7774999999999999
500,50,0.0001,0.05,1.6071,2.3,1.1774999999999998
500,50,0.0001,0.01,0.997,2.9,1.7774999999999999
500,50,0.0001,0.0001,0.0152,1.4,0.27749999999999986
500,100,0.1,0.1,0.0388,1.3,0.1775
500,100,0.1,0.05,0.0279,2.7,1.5775000000000001
500,100,0.1,0.01,0.0417,1.3,0.1775
500,100,0.1,0.0001,0.0316,2.6,1.4775
500,100,0.05,0.1,0.0453,1.3,0.1775
500,100,0.05,0.05,0.0423,0.9,0.22250000000000003
500,100,0.05,0.01,0.0521,1.4,0.27749999999999986
500,100,0.05,0.0001,0.033,2.8,1.6774999999999998
500,100,0.01,0.1,0.0653,2.6,1.4775
500,100,0.01,0.05,0.0308,1.5,0.37749999999999995
500,100,0.01,0.01,0.0344,2.9,1.7774999999999999
500,100,0.01,0.0001,0.0397,2.2,1.0775000000000001
500,100,0.0001,0.1,3.0148,2.5,1.3775
500,100,0.0001,0.05,3.9402,2.5,1.3775
500,100,0.0001,0.01,2.0223,2.0,0.8775
500,100,0.0001,0.0001,0.043,1.7,0.5774999999999999
500,150,0.1,0.1,0.046,1.2,0.0774999999999999
500,150,0.1,0.05,0.0392,1.1,0.022499999999999964
500,150,0.1,0.01,0.0369,1.4,0.27749999999999986
500,150,0.1,0.0001,0.0298,2.1,0.9775
500,150,0.05,0.1,0.04,2.3,1.1774999999999998
500,150,0.05,0.05,0.0453,1.5,0.37749999999999995
500,150,0.05,0.01,0.0315,2.3,1.1774999999999998
500,150,0.05,0.0001,0.0282,1.8,0.6775
500,150,0.01,0.1,0.0711,-2.1983,3.3208
500,150,0.01,0.05,0.065,1.6,0.47750000000000004
500,150,0.01,0.01,0.0327,2.5,1.3775
500,150,0.01,0.0001,0.0439,2.3,1.1774999999999998
500,150,0.0001,0.1,4.0704,2.6,1.4775
500,150,0.0001,0.05,3.3102,2.9,1.7774999999999999
500,150,0.0001,0.01,3.4226,3.8633,2.7408
500,150,0.0001,0.0001,0.0536,1.3,0.1775
500,200,0.1,0.1,0.0759,1.8,0.6775
500,200,0.1,0.05,0.0779,1.5,0.37749999999999995
500,200,0.1,0.01,0.0766,1.7,0.5774999999999999
500,200,0.1,0.0001,0.0895,2.6,1.4775
500,200,0.05,0.1,0.1126,1.1,0.022499999999999964
500,200,0.05,0.05,0.0954,1.6,0.47750000000000004
500,200,0.05,0.01,0.1124,2.2,1.0775000000000001
500,200,0.05,0.0001,0.1001,2.0,0.8775
500,200,0.01,0.1,0.1792,1.9,0.7774999999999999
500,200,0.01,0.05,0.091,2.1,0.9775
500,200,0.01,0.01,0.098,2.1,0.9775
500,200,0.01,0.0001,0.1123,1.9,0.7774999999999999
500,200,0.0001,0.1,7.8887,2.5,1.3775
500,200,0.0001,0.05,7.2507,-14184.9631,14186.0856
500,200,0.0001,0.01,4.9981,3.1716,2.0491
500,200,0.0001,0.0001,0.0695,2.9,1.7774999999999999
1000,50,0.1,0.1,0.0196,1.3,0.1775
1000,50,0.1,0.05,0.0226,1.2,0.0774999999999999
1000,50,0.1,0.01,0.0159,1.4,0.27749999999999986
