N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1331,-1.1541,0.09409999999999985,0.7056,0.3944000000000001
100,0.1,50,0.05,0.1632,1.1014,0.0013999999999998458,-1.1153,0.055299999999999905
100,0.1,50,0.01,0.2104,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.1,50,0.0001,0.2371,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.1,100,0.1,0.2726,-1.1252,0.06519999999999992,1.1173,0.01729999999999987
100,0.1,100,0.05,0.3411,-1.0679,0.007900000000000018,-0.034,1.026
100,0.1,100,0.01,0.3419,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.1,100,0.0001,0.4182,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.1,150,0.1,0.4424,-1.0791,0.019099999999999895,1.12,0.020000000000000018
100,0.1,150,0.05,0.4385,-0.0358,1.0242,-1.0718,0.011800000000000033
100,0.1,150,0.01,0.5501,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.1,150,0.0001,0.6718,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.1,200,0.1,0.5418,-1.0775,0.01749999999999985,1.1704,0.07040000000000002
100,0.1,200,0.05,0.6698,-0.0348,1.0252000000000001,1.1027,0.0026999999999999247
100,0.1,200,0.01,0.7612,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.1,200,0.0001,0.8721,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,50,0.1,0.1319,-1.1299,0.06989999999999985,1.1785,0.07850000000000001
100,0.2,50,0.05,0.1509,-1.0977,0.037699999999999845,0.5853,0.5147
100,0.2,50,0.01,0.1778,-1.0654,0.005399999999999849,-0.0357,1.0243
100,0.2,50,0.0001,0.2609,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,100,0.1,0.2892,1.125,0.02499999999999991,-1.0775,0.01749999999999985
100,0.2,100,0.05,0.3155,1.109,0.008999999999999897,-1.0715,0.011499999999999844
100,0.2,100,0.01,0.3978,-0.0357,1.0243,1.0977,0.0023000000000001908
100,0.2,100,0.0001,0.4622,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,150,0.1,0.4689,-1.0996,0.03959999999999986,-0.0391,1.0209000000000001
100,0.2,150,0.05,0.4769,1.1012,0.0011999999999998678,-0.0359,1.0241
100,0.2,150,0.01,0.5869,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.2,150,0.0001,0.6868,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.2,200,0.1,0.5815,-0.0368,1.0232,1.1634,0.0633999999999999
100,0.2,200,0.05,0.6235,1.1029,0.0028999999999999027,-0.0362,1.0238
100,0.2,200,0.01,0.728,-0.0357,1.0243,-1.0621,0.0020999999999999908
100,0.2,200,0.0001,0.8864,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,50,0.1,0.122,-1.1114,0.05139999999999989,0.0584,1.0416
100,0.25,50,0.05,0.1465,-1.0696,0.009600000000000053,-0.0718,0.9882000000000001
100,0.25,50,0.01,0.1579,-0.0357,1.0243,1.0978,0.0021999999999999797
100,0.25,50,0.0001,0.2043,1.0976,0.0024000000000001798,-0.0358,1.0242
100,0.25,100,0.1,0.291,1.1285,0.02849999999999997,-1.0947,0.03469999999999995
100,0.25,100,0.05,0.2766,1.1018,0.0017999999999998018,-0.0836,0.9764
100,0.25,100,0.01,0.3536,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.25,100,0.0001,0.4963,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.25,150,0.1,0.4222,1.1691,0.06909999999999994,-1.1164,0.056400000000000006
100,0.25,150,0.05,0.4679,-1.0664,0.006399999999999961,-0.0358,1.0242
100,0.25,150,0.01,0.539,-0.0357,1.0243,1.0977,0.0023000000000001908
100,0.25,150,0.0001,0.6624,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.25,200,0.1,0.6004,1.1237,0.023699999999999832,-0.0374,1.0226
100,0.25,200,0.05,0.6057,1.1474,0.04739999999999989,-0.0348,1.0252000000000001
100,0.25,200,0.01,0.7228,-0.0357,1.0243,1.0978,0.0021999999999999797
100,0.25,200,0.0001,0.9202,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.5,50,0.1,0.1392,-1.1148,0.05479999999999996,1.1211,0.021099999999999897
100,0.5,50,0.05,0.1562,-0.036,1.024,-1.0849,0.024899999999999922
100,0.5,50,0.01,0.2046,-0.0357,1.0243,-1.0621,0.0020999999999999908
100,0.5,50,0.0001,0.2108,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.5,100,0.1,0.267,-1.1289,0.06889999999999996,0.5964,0.5036
100,0.5,100,0.05,0.3474,-0.0349,1.0251000000000001,-1.0958,0.035800000000000054
100,0.5,100,0.01,0.3584,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.5,100,0.0001,0.428,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,0.5,150,0.1,0.437,1.1242,0.0242,-0.998,0.062000000000000055
100,0.5,150,0.05,0.4894,-0.0358,1.0242,-1.0703,0.010299999999999976
100,0.5,150,0.01,0.5588,-0.0357,1.0243,-1.062,0.0020000000000000018
100,0.5,150,0.0001,0.6926,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,0.5,200,0.1,0.5559,-1.0777,0.01770000000000005,1.1276,0.027599999999999847
100,0.5,200,0.05,0.7465,-0.036,1.024,-1.0669,0.006899999999999906
100,0.5,200,0.01,0.7153,-0.0357,1.0243,1.0979,0.0020999999999999908
100,0.5,200,0.0001,0.9136,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,50,0.1,0.1496,-1.0853,0.025299999999999878,-0.0405,1.0195
100,1.0,50,0.05,0.1624,-0.0358,1.0242,-1.0791,0.019099999999999895
100,1.0,50,0.01,0.1908,-1.0621,0.0020999999999999908,-0.0357,1.0243
100,1.0,50,0.0001,0.257,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,100,0.1,0.2838,1.1145,0.014499999999999957,-0.0518,1.0082
100,1.0,100,0.05,0.3194,-0.0358,1.0242,-1.0766,0.016599999999999948
100,1.0,100,0.01,0.4031,-0.0357,1.0243,-1.062,0.0020000000000000018
100,1.0,100,0.0001,0.4401,-1.0618,0.0018000000000000238,1.0976,0.0024000000000001798
100,1.0,150,0.1,0.4436,1.1262,0.0262,-1.1281,0.06810000000000005
100,1.0,150,0.05,0.4211,-0.0358,1.0242,-1.0668,0.006799999999999917
100,1.0,150,0.01,0.5492,-0.0357,1.0243,-1.062,0.0020000000000000018
100,1.0,150,0.0001,0.6057,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
100,1.0,200,0.1,0.5894,1.1283,0.028299999999999992,-0.0217,1.0383
100,1.0,200,0.05,0.6191,-1.072,0.01200000000000001,1.1072,0.007199999999999873
100,1.0,200,0.01,0.7274,-0.0357,1.0243,1.0978,0.0021999999999999797
100,1.0,200,0.0001,0.8979,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,50,0.1,0.1888,-1.147,0.08699999999999997,1.1159,0.015899999999999803
500,0.1,50,0.05,0.161,-1.0813,0.021299999999999875,-0.0362,1.0238
500,0.1,50,0.01,0.1931,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.1,50,0.0001,0.2285,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,100,0.1,0.2685,1.1488,0.048799999999999955,-0.0414,1.0186
500,0.1,100,0.05,0.338,-1.1018,0.04179999999999984,-0.0359,1.0241
500,0.1,100,0.01,0.3622,-0.0357,1.0243,-1.0621,0.0020999999999999908
500,0.1,100,0.0001,0.4907,1.0976,0.0024000000000001798,-1.0618,0.0018000000000000238
500,0.1,150,0.1,0.433,1.1254,0.025399999999999867,-1.1077,0.047699999999999854
