N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
100,0.1,50,0.1,0.1434,1.0208,0.02079999999999993,-1.0363,0.0363
100,0.1,50,0.05,0.1511,-1.0039,0.0039000000000000146,1.0077,0.00770000000000004
100,0.1,50,0.01,0.195,1.0003,0.00029999999999996696,-1.0002,0.00019999999999997797
100,0.1,50,0.0001,0.2181,1.0,0.0,-1.0,0.0
100,0.1,100,0.1,0.2546,1.0277,0.027700000000000058,-1.0051,0.0051000000000001044
100,0.1,100,0.05,0.2946,-1.0057,0.005700000000000038,1.017,0.016999999999999904
100,0.1,100,0.01,0.3603,0.0,1.0,1.0003,0.00029999999999996696
100,0.1,100,0.0001,0.3941,1.0,0.0,-1.0,0.0
100,0.1,150,0.1,0.4327,-0.0023,0.9977,-1.0787,0.07869999999999999
100,0.1,150,0.05,0.4684,0.0022,0.9978,-1.01,0.010000000000000009
100,0.1,150,0.01,0.5111,0.0,1.0,1.0002,0.00019999999999997797
100,0.1,150,0.0001,0.5946,1.0,0.0,-1.0,0.0
100,0.1,200,0.1,0.5392,-0.0254,0.9746,-0.6099,0.3901
100,0.1,200,0.05,0.5577,0.002,0.998,1.0077,0.00770000000000004
100,0.1,200,0.01,0.701,0.0,1.0,-1.0002,0.00019999999999997797
100,0.1,200,0.0001,0.8107,1.0,0.0,-1.0,0.0
100,0.2,50,0.1,0.1147,-1.0489,0.048899999999999944,-0.0028,0.9972
100,0.2,50,0.05,0.1454,-1.0124,0.012399999999999967,0.0127,0.9873
100,0.2,50,0.01,0.1569,-1.0004,0.00039999999999995595,1.0024,0.0023999999999999577
100,0.2,50,0.0001,0.228,-1.0,0.0,1.0,0.0
100,0.2,100,0.1,0.2463,0.0089,0.9911,-1.089,0.08899999999999997
100,0.2,100,0.05,0.2911,-1.0064,0.006399999999999961,1.0153,0.015300000000000091
100,0.2,100,0.01,0.3633,1.0005,0.0004999999999999449,-1.0006,0.0005999999999999339
100,0.2,100,0.0001,0.3907,1.0,0.0,-1.0,0.0
100,0.2,150,0.1,0.3933,1.0244,0.024399999999999977,-0.6205,0.37949999999999995
100,0.2,150,0.05,0.4778,1.004,0.0040000000000000036,-0.0007,0.9993
100,0.2,150,0.01,0.4788,1.0002,0.00019999999999997797,-1.0002,0.00019999999999997797
