N_iter,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min
100,50,0.1,0.3556,2.9331,1.8106
100,50,0.05,0.4185,2.9771,1.8546
100,50,0.01,0.381,2.6753,1.5528
100,50,0.0001,0.3553,2.8873,1.7648000000000001
100,100,0.1,0.7711,2.984,1.8615
100,100,0.05,0.7266,2.7784,1.6559
100,100,0.01,0.7987,2.9854,1.8628999999999998
100,100,0.0001,0.6831,2.7402,1.6177000000000001
100,150,0.1,1.072,2.6564,1.5339
100,150,0.05,1.0189,2.986,1.8635000000000002
100,150,0.01,1.0714,2.7986,1.6761
100,150,0.0001,1.1628,2.66,1.5375
100,200,0.1,1.46,2.6591,1.5366
100,200,0.05,1.4876,2.994,1.8715000000000002
100,200,0.01,1.4035,2.6392,1.5167000000000002
100,200,0.0001,1.4585,2.6539,1.5314
500,50,0.1,0.322,2.7951,1.6726
500,50,0.05,0.3676,2.6261,1.5036
500,50,0.01,0.2981,2.9777,1.8552
500,50,0.0001,0.387,2.9088,1.7862999999999998
500,100,0.1,0.8399,2.8258,1.7033
500,100,0.05,0.7657,2.7284,1.6059
500,100,0.01,0.8457,2.652,1.5295
500,100,0.0001,0.7757,2.8429,1.7204000000000002
500,150,0.1,1.1409,2.6729,1.5503999999999998
500,150,0.05,1.1239,2.7869,1.6644
500,150,0.01,1.1065,2.6532,1.5307
500,150,0.0001,1.0735,2.8916,1.7691
500,200,0.1,1.4819,2.8262,1.7037
500,200,0.05,1.7405,2.7055,1.5829999999999997
500,200,0.01,1.6627,2.8082,1.6856999999999998
500,200,0.0001,1.7353,2.9436,1.8211
1000,50,0.1,0.4593,2.8695,1.7469999999999999
1000,50,0.05,0.4357,2.7823,1.6598000000000002
1000,50,0.01,0.3574,2.6733,1.5507999999999997
1000,50,0.0001,0.3397,2.8873,1.7648000000000001
1000,100,0.1,0.7299,2.8237,1.7012
1000,100,0.05,0.7556,2.7458,1.6233
1000,100,0.01,0.8003,2.9307,1.8081999999999998
1000,100,0.0001,0.8674,2.8999,1.7774
1000,150,0.1,1.0523,2.8803,1.7578
1000,150,0.05,1.0971,2.6437,1.5211999999999999
1000,150,0.01,1.1095,2.6488,1.5263
1000,150,0.0001,1.2828,2.6442,1.5217
1000,200,0.1,1.7744,2.9969,1.8744
1000,200,0.05,1.7307,2.7433,1.6208
1000,200,0.01,1.5445,2.6702,1.5476999999999999
1000,200,0.0001,1.6289,2.7503,1.6278000000000001
2000,50,0.1,0.3762,2.7062,1.5836999999999999
2000,50,0.05,0.436,2.7163,1.5937999999999999
2000,50,0.01,0.4267,2.6422,1.5196999999999998
2000,50,0.0001,0.3576,2.8903,1.7677999999999998
2000,100,0.1,0.8313,2.7174,1.5949
2000,100,0.05,0.7577,2.9623,1.8397999999999999
2000,100,0.01,0.773,2.7763,1.6538
2000,100,0.0001,0.8567,2.6765,1.5539999999999998
2000,150,0.1,1.2799,2.6463,1.5238
2000,150,0.05,1.2815,2.8699,1.7473999999999998
2000,150,0.01,1.3092,2.8233,1.7008
2000,150,0.0001,1.2745,2.9084,1.7858999999999998
2000,200,0.1,1.709,2.6656,1.5431
2000,200,0.05,1.8532,2.6812,1.5587
2000,200,0.01,1.9226,2.8691,1.7466
2000,200,0.0001,1.7186,2.8931,1.7706
