N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,19.2847,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.5,0.5,2,100,0.05,0.5,41.7237,1.1,2.6645352591003757e-15,-1.0999999999999992,0.03999999999999915
2,0.5,0.5,3,50,0.05,0.5,14.7247,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
2,0.5,0.5,3,100,0.05,0.5,35.0827,1.1,2.6645352591003757e-15,-1.0999999999999992,0.03999999999999915
2,0.5,0.5,4,50,0.05,0.5,19.0477,1.0,0.09999999999999742,-1.6999999999999997,0.6399999999999997
2,0.5,0.5,4,100,0.05,0.5,35.4937,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.25,2,50,0.05,0.5,18.3837,1.0,0.09999999999999742,-1.1999999999999993,0.13999999999999924
2,0.5,0.25,2,100,0.05,0.5,47.5937,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.25,3,50,0.05,0.5,17.9837,-1.1,0.03999999999999915,1.0000000000000027,0.09999999999999742
2,0.5,0.25,3,100,0.05,0.5,29.9227,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
2,0.5,0.25,4,50,0.05,0.5,14.7677,-1.2,0.13999999999999924,0.8000000000000025,0.2999999999999976
2,0.5,0.25,4,100,0.05,0.5,23.7662,-1.1,0.03999999999999915,0.8000000000000025,0.2999999999999976
2,0.5,0.1,2,50,0.05,0.5,26.6933,0.9,0.1999999999999975,-1.0999999999999992,0.03999999999999915
2,0.5,0.1,2,100,0.05,0.5,54.3907,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.1,3,50,0.05,0.5,17.9527,-1.2,0.13999999999999924,-1.1999999999999993,0.13999999999999924
2,0.5,0.1,3,100,0.05,0.5,41.9067,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.1,4,50,0.05,0.5,17.9317,-1.2,0.13999999999999924,0.9000000000000026,0.1999999999999975
2,0.5,0.1,4,100,0.05,0.5,30.6187,-1.1,0.03999999999999915,0.9000000000000026,0.1999999999999975
2,0.5,0.05,2,50,0.05,0.5,22.2327,-1.2,0.13999999999999924,0.8000000000000025,0.2999999999999976
2,0.5,0.05,2,100,0.05,0.5,45.2827,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
2,0.5,0.05,3,50,0.05,0.5,18.1357,1.0,0.09999999999999742,-1.0999999999999992,0.03999999999999915
