N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2,0.5,0.5,2,50,0.05,0.5,22.4645,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.5,0.5,2,100,0.05,0.5,47.0457,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,50,0.05,0.5,23.9527,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.5,0.5,3,100,0.05,0.5,48.2147,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.5,4,50,0.05,0.5,11.9297,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.5,4,100,0.05,0.5,28.8787,1.0,2.6645352591003757e-15,-1.0999999999999992,0.0999999999999992
2,0.5,0.25,2,50,0.05,0.5,24.6757,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,2,100,0.05,0.5,42.4217,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.5,0.25,3,50,0.05,0.5,18.6187,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
2,0.5,0.25,3,100,0.05,0.5,41.7327,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.25,4,50,0.05,0.5,12.7777,1.0,2.6645352591003757e-15,-1.0999999999999992,0.0999999999999992
2,0.5,0.25,4,100,0.05,0.5,22.7457,1.0,2.6645352591003757e-15,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,2,50,0.05,0.5,18.2208,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
2,0.5,0.1,2,100,0.05,0.5,35.8426,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,3,50,0.05,0.5,17.7797,-1.0,8.881784197001252e-16,0.5000000000000022,0.4999999999999978
2,0.5,0.1,3,100,0.05,0.5,37.9257,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.5,0.1,4,50,0.05,0.5,11.3107,0.8,0.1999999999999975,-0.899999999999999,0.10000000000000098
2,0.5,0.1,4,100,0.05,0.5,26.2017,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
2,0.5,0.05,2,50,0.05,0.5,14.7687,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.5,0.05,2,100,0.05,0.5,33.5967,-0.9,0.10000000000000098,0.30000000000000204,0.699999999999998
2,0.5,0.05,3,50,0.05,0.5,17.4348,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
2,0.5,0.05,3,100,0.05,0.5,32.7976,-1.2,0.1999999999999993,-1.1999999999999993,0.1999999999999993
2,0.5,0.05,4,50,0.05,0.5,12.1207,-1.4,0.39999999999999947,0.10000000000000187,0.8999999999999981
2,0.5,0.05,4,100,0.05,0.5,27.4717,-1.5,0.49999999999999956,0.6000000000000023,0.3999999999999977
2,0.5,0.01,2,50,0.05,0.5,16.5907,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,2,100,0.05,0.5,25.8517,-1.2,0.1999999999999993,1.7763568394002505e-15,0.9999999999999982
2,0.5,0.01,3,50,0.05,0.5,12.4817,-1.2,0.1999999999999993,-1.2999999999999994,0.2999999999999994
2,0.5,0.01,3,100,0.05,0.5,27.9187,0.5,0.4999999999999978,-0.5999999999999988,0.40000000000000124
2,0.5,0.01,4,50,0.05,0.5,15.9797,0.8,0.1999999999999975,-1.3999999999999995,0.39999999999999947
2,0.5,0.01,4,100,0.05,0.5,23.3277,0.1,0.8999999999999981,-1.0999999999999992,0.0999999999999992
2,0.3,0.5,2,50,0.05,0.5,14.3717,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.5,2,100,0.05,0.5,34.0537,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
2,0.3,0.5,3,50,0.05,0.5,22.1067,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.5,3,100,0.05,0.5,44.7747,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.5,4,50,0.05,0.5,27.3797,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.5,4,100,0.05,0.5,55.7447,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
2,0.3,0.25,2,50,0.05,0.5,15.9657,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.25,2,100,0.05,0.5,29.0987,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.25,3,50,0.05,0.5,20.3917,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
2,0.3,0.25,3,100,0.05,0.5,36.8667,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
2,0.3,0.25,4,50,0.05,0.5,22.6726,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
2,0.3,0.25,4,100,0.05,0.5,51.5168,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,2,50,0.05,0.5,15.5986,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
2,0.3,0.1,2,100,0.05,0.5,26.329,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
2,0.3,0.1,3,50,0.05,0.5,18.8314,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
2,0.3,0.1,3,100,0.05,0.5,35.8716,-1.1,0.0999999999999992,0.5000000000000022,0.4999999999999978
2,0.3,0.1,4,50,0.05,0.5,14.8307,-1.1,0.0999999999999992,1.7763568394002505e-15,0.9999999999999982
2,0.3,0.1,4,100,0.05,0.5,36.7657,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
